Scenario,Model,year,revenue_bn,cs_bn,ec_bn,welfare_bn,vkt_red_pct,cp_red_pct,dropout_pct,co2_kt
0. Baseline,Full,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0. Baseline,Simplified,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Pigouvian (100%),Full,2026,31.328153254729585,-35.83214969935693,4.7515533441576885,0.2475568995303383,17.905707154657,36.6965086169598,0.0,845.261557093752
1. Pigouvian (100%),Simplified,2026,32.29422939246796,-36.52188715541131,4.413057215902466,0.1853994529591217,17.179874069454158,32.7352736906525,0.0,825.5656710862193
2. Pigouvian (50%),Full,2026,17.710194688195557,-19.405060575219274,3.234048874826252,1.539182987802536,11.164082228482354,25.712473883157415,0.0,525.0966012152959
2. Pigouvian (50%),Simplified,2026,17.976258387738522,-19.572341187941873,3.046739924007883,1.450657123804533,10.740570353830204,23.644364247185845,0.0,515.4578159655834
"3. Annual fee 5,000",Full,2026,12.69691351,-15.383862799077125,1.500322054006879,-1.1866272350702467,6.059598351845786,10.304717894247094,14.099999999999998,232.73856447575585
"3. Annual fee 5,000",Simplified,2026,12.69691351,-15.383862799077125,1.500322054006879,-1.1866272350702467,6.059598351845786,10.304717894247094,14.099999999999998,232.73856447575585
"4. City fee 1,000",Full,2026,2.6464344026666664,-2.989678890650458,0.3656908593617213,0.022446371377929927,0.7676453875431921,3.0102400308241073,0.0,36.552419228115234
"4. City fee 1,000",Simplified,2026,2.6464344026666664,-2.989678890650458,0.3656908593617213,0.022446371377929927,0.7676453875431921,3.0102400308241073,0.0,36.552419228115234
5. Our Proposal,Full,2026,19.27535254159275,-21.770990220040357,3.8558599694999756,1.3602222910523705,12.713904270013243,31.41820378690313,0.0,598.4647758732764
5. Our Proposal,Simplified,2026,19.60122519777713,-21.952834749311446,3.6427469773437298,1.291137425809413,12.213615611084606,29.116559568029277,0.0,586.0180121582002
0. Baseline,Full,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0. Baseline,Simplified,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Pigouvian (100%),Full,2030,33.66420405240833,-38.467868317088545,4.877715513291495,0.0740512486112814,17.909901162664276,36.24345652857374,0.0,641.3786878172192
1. Pigouvian (100%),Simplified,2030,34.90248492665393,-39.344380181706775,4.45805729995219,0.016162044899349214,16.962902348843766,31.665120824589323,0.0,626.4335842372774
2. Pigouvian (50%),Full,2030,19.010215156912302,-20.821923811668654,3.3303928428334455,1.518684188077094,11.195793495540274,25.433069752285185,0.0,398.43970926906053
2. Pigouvian (50%),Simplified,2030,19.37501265399972,-21.050532311882897,3.081709701854946,1.4061900439717674,10.61511829217272,22.844407199322358,0.0,391.12586495219824
"3. Annual fee 5,000",Full,2030,13.185835369999996,-16.360457931651123,1.7373874279376893,-1.4372351337134375,6.869765275075556,11.532206992482962,14.099999999999998,176.6004307603535
"3. Annual fee 5,000",Simplified,2030,13.185835369999996,-16.360457931651123,1.7373874279376893,-1.4372351337134375,6.869765275075556,11.532206992482962,14.099999999999998,176.6004307603535
"4. City fee 1,000",Full,2030,2.80349434,-3.159391126521979,0.3697658046679061,0.01386901814592725,0.7630504821809492,2.877416094618057,0.0,27.735725686709962
"4. City fee 1,000",Simplified,2030,2.80349434,-3.159391126521979,0.3697658046679061,0.01386901814592725,0.7630504821809492,2.877416094618057,0.0,27.735725686709962
5. Our Proposal,Full,2030,20.677487370817236,-23.322929973615448,3.960007400520174,1.31456479772196,12.742840419453572,30.95932666368768,0.0,454.1109783511123
5. Our Proposal,Simplified,2030,21.1185145528205,-23.571540962427008,3.6800065342077746,1.2269801246012644,12.072986197504921,28.079812051032395,0.0,444.6664591816914
0. Baseline,Full,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0. Baseline,Simplified,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Pigouvian (100%),Full,2035,36.67015579478354,-41.860760344999285,5.046636212310122,-0.1439683379056225,17.914537677112484,35.7694263856795,0.0,388.89777225483937
1. Pigouvian (100%),Simplified,2035,38.25129965888373,-42.97260312621577,4.525270871211084,-0.1960325961209631,16.723038114984778,30.545415764127647,0.0,379.8358598483989
2. Pigouvian (50%),Full,2035,20.683798701863218,-22.64620938272699,3.4584036128282785,1.4959929319645051,11.230850593101882,25.140728135332434,0.0,241.5925540649734
2. Pigouvian (50%),Simplified,2035,21.172726523083494,-22.95192622614353,3.1329950807773685,1.353795377717329,10.476429883513571,22.007409062841365,0.0,237.15782959490065
"3. Annual fee 5,000",Full,2035,13.83189205,-17.623413096069175,2.034276849615435,-1.7572441964537409,7.765412264423766,12.816533557913202,14.099999999999998,107.08106678081397
"3. Annual fee 5,000",Simplified,2035,13.83189205,-17.623413096069175,2.034276849615435,-1.7572441964537409,7.765412264423766,12.816533557913202,14.099999999999998,107.08106678081397
"4. City fee 1,000",Full,2035,3.0070829893333326,-3.3797388598526297,0.37577828111636796,0.0031224105970708133,0.7579707720175022,2.738441899214128,0.0,16.817462345282227
"4. City fee 1,000",Simplified,2035,3.0070829893333326,-3.3797388598526297,0.37577828111636796,0.0031224105970708133,0.7579707720175022,2.738441899214128,0.0,16.817462345282227
5. Our Proposal,Full,2035,22.48300787769844,-25.322556117213736,4.099328808746965,1.2597805692316684,12.774829598950365,30.4792017644435,0.0,275.34863753929613
5. Our Proposal,Simplified,2035,23.068852785021413,-25.655112689979315,3.7356682659698084,1.1494083610119037,11.91751908662323,26.9950591358036,0.0,269.6219856645576
